Shopping Mall,Latitude,Longitude
100 AM,1.274588218,103.8434707
313@Somerset,1.301006569,103.8382466
Aperia,1.310473668,103.8643132
Balestier Hill Shopping Centre,1.325595948,103.8425716
Bugis Cube,1.298140834,103.8556353
Bugis Junction,1.299137172,103.8554503
Bugis+,1.300951715,103.8551726
Capitol Piazza,1.293078848,103.851262
Cathay Cineleisure Orchard,1.301492649,103.8364068
The Central,1.288838562,103.846558
The Centrepoint,1.301450455,103.8400341
City Square Mall,1.311421031,103.856624
City Gate,1.302315905,103.8623317
CityLink Mall,1.292777731,103.8541735
Duo,1.299534349,103.8584017
Far East Plaza,1.307221002,103.8338056
Funan,1.291347597,103.8499898
Great World City,1.293475962,103.8319759
HDB Hub,1.33201387,103.8498495
One Holland Village,1.312362172,103.7933012
ION Orchard,1.303992869,103.8319889
Junction 8,1.350182003,103.8485157
Knightsbridge,1.302983123,103.8362839
Liat Towers,1.305087227,103.8307226
Lucky Plaza,1.30446379,103.8340052
Marina Bay Sands,1.284662036,103.8610059
The Shoppes at Marina Bay Sands,1.28423496,103.8589823
Marina Bay Link Mall,1.280031134,103.8542849
Marina Square,1.291855333,103.8585781
Millenia Walk,1.292679269,103.8603029
Mustafa Centre,1.310112132,103.8552909
Ngee Ann City,1.30227273,103.8348995
Orchard Central,1.300838908,103.8394347
Orchard Gateway,1.30160117,103.8388689
Orchard Plaza,1.301257294,103.8411501
Midpoint Orchard,1.301787785,103.8386598
Palais Renaissance,1.306654845,103.829588
People's Park Centre,1.285805835,103.8440322
People's Park Complex,1.284044879,103.8425908
Plaza Singapura,1.30083413,103.8450727
GR.iD,1.300108267,103.8492641
Raffles City,1.294083047,103.8533395
Scotts Square,1.305806097,103.8330596
Shaw Centre,1.306150487,103.8318534
Sim Lim Square,1.303024261,103.8530378
Singapore Shopping Centre,1.286497018,103.8446287
The South Beach,1.294988044,103.8562762
Square 2,1.2782295,103.8508125
Sunshine Plaza,1.300467354,103.8505561
Suntec City,1.293501325,103.8573075
Tanglin Mall,1.304853421,103.8238835
Tanjong Pagar Centre,1.275596198,103.8423932
Tekka Centre,1.306710983,103.8501344
The Adelphi,1.291185037,103.8511843
The Paragon,1.303872309,103.8358575
Tiong Bahru Plaza,1.286440217,103.8274507
The Poiz,1.332027297,103.8686595
Thomson Plaza,1.354362827,103.8303094
United Square,1.31719451,103.8436114
Thomson V,1.353194953,103.8355647
Velocity@Novena Square,1.319789492,103.8440336
Wheelock Place,1.304676287,103.830642
Wisma Atria,1.3036877,103.8332036
Zhongshan Mall,1.326945045,103.8465544
Bedok Mall,1.326119703,103.9295545
Century Square,1.352368296,103.9438123
Changi City Point,1.334083638,103.962946
Downtown East,1.379127179,103.9554448
Djitsun Mall Bedok,1.326119703,103.9295545
Eastpoint Mall,1.342691998,103.9530508
Jewel Changi Airport,1.360062894,103.9899892
KINEX,1.314618499,103.894738
Katong Shopping Centre,1.303798132,103.9011617
Katong Square,1.304776839,103.9046177
Kallang Wave Mall,1.303075152,103.8731497
Leisure Park Kallang,1.302301084,103.876474
i12 Katong,1.305223062,103.9050439
Our Tampines Hub,1.352180469,103.940598
Parkway Parade,1.301152599,103.9052818
Paya Lebar Square,1.31881487,103.8925808
Paya Lebar Quarter,1.317523846,103.8927244
Roxy Square,1.304325999,103.9040511
Singpost Centre,1.36765711,103.908955
Tampines 1,1.354550564,103.9453033
Tampines Mall,1.352593614,103.944786
White Sands,1.372345191,103.9498054
City Plaza,1.314708663,103.8935086
Elias Mall,1.377905331,103.9423358
Loyang Point,1.36645364,103.9645985
888 Plaza,1.437123015,103.7953144
Admiralty Place,1.439923451,103.8020153
AMK Hub,1.369389227,103.848478
Canberra Plaza,1.443495445,103.8303454
Causeway Point,1.43622868,103.7863498
Woodlands Civic Centre,1.435018296,103.7869309
Broadway Plaza,1.371937291,103.8459494
Jubilee Square,1.371785586,103.8478376
Junction 8,1.350182003,103.8485157
Junction Nine,1.43312284,103.841661
Marsiling Mall,1.433543181,103.7798819
Northpoint City,1.42790289,103.8361777
Sembawang Shopping Centre,1.441853253,103.8248324
Sun Plaza,1.448231135,103.8195237
Vista Point,1.430801139,103.7941048
Wisteria Mall,1.417989691,103.8413173
Woodlands Mart,1.44564787,103.7981623
Woodlands North Plaza,1.442855482,103.7909651
Buangkok Square,1.384334266,103.8816231
Compass One,1.392054305,103.8950639
Greenwich V,1.387395394,103.869136
Heartland Mall,1.359541773,103.8851674
Hougang 1,1.356642846,103.8898289
Hougang Green Shopping Mall,1.379317835,103.8878471
Hougang Mall,1.372483087,103.8937881
NEX,1.350769353,103.8722961
Northshore Plaza,1.416761272,103.9020744
Oasis Terraces,1.402780157,103.9132151
Punggol Plaza,1.394256298,103.9130435
Rivervale Mall,1.392217327,103.9044731
Rivervale Plaza,1.385337361,103.901841
Sengkang Grand Mall,1.382981632,103.892721
The Seletar Mall,1.391470154,103.8761255
Upper Serangoon Shopping Centre,1.353480823,103.8788281
Waterway Point,1.406379336,103.9021722
myVillage At Serangoon Garden,1.365114906,103.8651595
Beauty World Centre,1.342412642,103.7765394
Beauty World Plaza,1.341800186,103.7762594
Bukit Panjang Plaza,1.379894944,103.7644599
Bukit Timah Plaza,1.338631653,103.7785854
Fajar Shopping Centre,1.383601112,103.7709401
Greenridge Shopping Centre,1.385405693,103.7662285
Hillion Mall,1.378482249,103.7636728
HillV2,1.362674508,103.7641729
Junction 10,1.38055128,103.760107
Keat Hong Shopping Centre,1.377366074,103.7443936
Limbang Shopping Centre,1.392073887,103.7430996
Lot One,1.385069923,103.7452389
Rail Mall,1.357730502,103.7681377
Sunshine Place,1.377897277,103.7390155
Teck Whye Shopping Centre,1.38004753,103.7524838
West Mall,1.35001921,103.7492448
Yew Tee Point,1.397057415,103.7466621
Yew Tee Square,1.398047361,103.7470848
321 Clementi,1.31200212,103.7649867
The Clementi Mall,1.314896196,103.7644231
IMM,1.334875261,103.7468948
JCube,1.333323126,103.7401871
Jem,1.333059993,103.7435037
Westgate,1.334157676,103.7427665
Jurong Point,1.339452004,103.706685
Pioneer Mall,1.34172919,103.6972237
The Star Vista,1.306815007,103.7884627
Alexandra Central,1.287283209,103.8052834
Anchorpoint,1.28861469,103.80501
The Grandstand,1.337593733,103.7937074
Boon Lay Shopping Centre,1.346373764,103.7124728
Grantral Mall,1.314270439,103.7651475
Fairprice Hub,1.353495936,103.9401394
Gek Poh Shopping Centre,1.348743571,103.6977321
Rochester Mall,1.305407656,103.7884467
Taman Jurong Shopping Centre,1.334844875,103.720462
West Coast Plaza,1.303624575,103.7658584
Queensway Shopping Centre,1.287617926,103.8033911
